"Sitio","SitioNombre","PCvisits","Survey","WOTH","GWWA","Coffee.x","IDENT","LAT","LONG","Y_PROJ","X_PROJ","ALTITUDE","Sistema","AMACYC*","BASRUF","BUTMAG","CANMOD","CARPUS","CYCGUJ","HYLLEU","HYLMUS","ICTCHR","ORTVET","PSAWAG","PSIMOR","SALATR","SETGRA","SETVIR","SPINOT","TROAED","CORATR","EMPFLT*","MNIVAR","PSAMON","TROCAL","ACCCHI","AIMRUS*","AMAALB","CAMZON","CONCOO","CYASTE","EUPNAN","MELFOR","MYIPIC","PENNIG","PIRRUB","SEIAUR","VIRPHI","CROSUL","DIVDIV","GLABRA","MELAUR","MYILUT","PITSUL","SETCIT","SETMAG","SETRUT","TURGRA","ARCCOL","CAEAUR*","CYAMEL","EMPMIN","FALSPA","BUTANT","MOMMOM","TITSEM","ZENASI","BUTPLG*","CAMGUA","ICTPLU","OREPER","SETPEN","STRZON","VERCRY","VIRFLF*","VIRSOL","QUIMEX","RAMSUL","XIPFLA","CHLFLP*","LAMSYB","MIOOLE","MYAUNI","MYIMIN","SITGRI","AULPRA","HYLDEC","TOLSUL","ATTSPA","COLRUB","LEPSOU","MYITUB","SETPIM*","BUTALN*","LEPVEX*","AMARUT","DUMCAR","HENLEU","SALMAX","AMBHOL","BASCUL","EUPEXI","HENLES*","MICPHI","ONCCIN","VERPIN","VIRPLU","MYISIM","CHLOCC","PIACAY","SETFUS","CATAUN*","DRYLIN","PHASTR","HABRUB","PATFLA","AMABER","HABFUS","MEGPIT","THRRUL*","PTETOR","MYIVIR","CRYSOU","PSIHOL","TAPNAE","BUTBRA","CATUST","TIAOLI","ELAFOR","PIOSEN","EUMSUP","EUPHIR","ICTGAL","MYICRI","CHAVAU","FALRUF","BUTPLT*","CERTYR","SETCAE","ANAVAR","PIRFLA","POLCAE","ELALEU","SARPAP","SETDOM","EUPELE","CHLCAV*","GEOFOR","NYCALB","Area_Basal","Group_cover","Subcanopy","Altitude","Aspect","Pforest","Sforest","Coffee.y"
"1","El Plan de Tule #1",3,3,0,0,0,"1F-PT",15.22879237,-87.44550713,1683680.56015066,452155.54402793,879,"F",3,0,0,0,0,2,0,0,2,0,0,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.636370694192807,0.378507168905106,-0.487854210663314,-1.1083701291522,-0.487530498071759,-0.309667736406426,1.29096572614114,-0.984459867576389
"3","Norma Café",6,3,1,1,1,"3C-PT",15.18725292,-87.4730349,1679092.11726921,449189.23975841,825,"C",4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,4,0,4,0,2,2,4,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.816006866127112,1.45781473964442,-1.39548995143227,-1.34321811204786,0.846481524124593,-0.309667736406426,-0.956635102831465,1.05030097644774
"5","Elias Café",6,4,1,1,1,"5C-PT",15.1741018,-87.47996774,1677639.10007755,448441.34685695,910,"C",0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.652701255277743,-1.95999256769674,2.05352586348976,-0.973549990823218,0.364308504053622,-0.309667736406426,-0.282354854139683,0.530787569462854
"6","Finca de Horacio",5,3,1,1,1,"6C-PT",15.16796038,-87.39771025,1676942.09177238,457276.43735127,973,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10716356807659,-0.341031211587769,0.419781530105643,-0.699560677444957,0.364308504053622,-0.309667736406426,-0.484638928747218,0.725605097082185
"8","Finca de Elias (Near)",6,3,0,1,0,"8F-PT",15.176538,-87.47606537,1677907.65137101,448861.13819184,897,"F",0,2,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310801848733533,0.378507168905106,-1.39548995143227,-1.03008746818699,1.40098049720621,-0.309667736406426,1.02125362666443,-0.984459867576389
"9","Finca de Norma (S Edge)",6,3,0,1,0,"9F-PT",15.1706534,-87.47576019,1677256.68776045,448892.50653775,983,"F",0,4,0,4,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310801848733533,1.45781473964442,-1.39548995143227,-0.656070310242059,-1.24293489618295,-0.309667736406426,1.29096572614114,-0.984459867576389
"10","Finca de Agusto Rojas",6,3,1,0,1,"10C-PT",15.15627801,-87.50635036,1675673.99957087,445602.67686333,1250,"C",0,2,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.750684621787365,-1.6002233774503,1.69047156718218,0.505122494075331,0.267873900039428,-0.309667736406426,-0.552066953616396,0.790544272955295
"12","Finca de Ovidio",6,4,1,1,1,"12C-PT",15.16171686,-87.43457353,1676259.02918985,453315.00878312,1044,"C",0,2,0,0,5,0,0,0,0,0,2,1,2,0,5,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400619934700686,-0.341031211587769,0.419781530105643,-0.390779070304378,1.15989398717072,-0.309667736406426,-0.956635102831465,1.18017932819396
"13","Zapote Fragment",6,3,0,0,0,"13F-PT",15.16282135,-87.44115961,1676382.60981222,452607.71902169,990,"F",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-0.0974621783898892,1.45781473964442,-1.39548995143227,-0.62562705320003,-0.0214299120031542,-0.309667736406426,1.29096572614114,-0.984459867576389
"14","El bosque bajo South",6,3,0,0,0,"14F-PT",15.16955595,-87.48454057,1677137.36794172,447949.00549793,1024,"F",0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658434324594797,1.63769933476764,-1.57701709958606,-0.477759804710175,-0.68843592310133,-0.309667736406426,1.29096572614114,-0.984459867576389
"15","Finca de Allan",6,4,2,1,1,"15C-PT",15.1549924,-87.50195414,1675530.71213524,446074.64851905,1270,"C",2,2,0,4,0,0,0,2,2,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0772958434861,-0.341031211587769,0.419781530105643,0.592103228481128,0.0428598240063086,-0.309667736406426,-0.664446995065026,0.898776232743813
"16","Bosque de Allan",6,3,0,1,0,"16F-PT",15.16482789,-87.50223292,1676618.68123003,446047.19217772,1200,"F",2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.473065083343438,0.378507168905106,-0.306327062509523,0.287670658060839,-1.41169545320779,-0.309667736406426,1.08868165153361,-0.984459867576389
"18","Finca de Norma 2",6,3,1,1,0,"18F-PT",15.18655563,-87.46586401,1679013.33701211,449959.34718041,856,"F",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.750684621787365,0.0187379786586685,0.0567272337980598,-1.20839797371887,-0.101792082014983,-0.309667736406426,1.29096572614114,-0.984459867576389
"19","Finca de Mario",6,4,2,0,1,"19C-PT",15.14629039,-87.50387502,1674568.65966339,445866.06978641,1141,"C",0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,2,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36412303871196,-0.341031211587769,0.419781530105643,0.0310774915637376,0.958988562141153,-0.309667736406426,-0.956635102831465,0.898776232743813
"22","Finca de Julio",6,3,1,1,1,"22C-PT",15.16748412,-87.43743637,1676897.55126603,453008.73094429,984,"C",0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,4,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,5,4,3,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.522056766598248,-1.6002233774503,1.69047156718218,-0.651721273521769,-0.0776834310114341,-0.309667736406426,-0.731875019934204,0.963715408616923
"23","Encino Rd 3",6,3,0,1,0,"23F-PT",15.18012428,-87.47953339,1678305.14148622,448489.46580506,885,"F",0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158093729652048,1.2779301445212,-1.21396280327848,-1.08227590883046,-1.32329706619477,-0.309667736406426,0.616685477449358,-0.984459867576389
"24","Finca de Maria",6,4,2,1,1,"24C-PT",15.15699852,-87.48480745,1675748.46074525,447917.26149682,1231,"C",0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.873163829924392,-1.24045418720386,1.3274172708746,0.422490796389824,1.44116158221212,-0.309667736406426,-0.664446995065026,1.11524015232085
"25","Bosque bajo south 2",6,41,1,1,0,"25F-PT",15.17439541,-87.48336878,1677672.3801148,448076.06767949,966,"F",0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163826798969101,1.09804554939798,-1.03243565512469,-0.730003934486986,-0.784870527115524,-0.309667736406426,1.29096572614114,-0.984459867576389
"26","Sendero La Montana",6,3,0,1,0,"26F-PT",15.17922071,-87.49474855,1678208.83667714,446854.82249522,972,"F",2,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35875115574888,1.63769933476764,-1.57701709958606,-0.703909714165247,0.862553958126959,-0.309667736406426,1.29096572614114,-0.984459867576389
"27","Finca de Vincente",6,4,2,1,1,"27C-PT",15.1527701,-87.42137379,1675266.67052727,454731.13870755,1154,"C",0,1,4,0,1,0,0,0,0,0,2,0,4,0,2,0,0,0,2,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.505726205513312,-0.880684996957425,0.964362974567017,0.0876149689275056,-1.24293489618295,-0.309667736406426,-0.956635102831465,1.18017932819396
